,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10
2020-01-01,87.45401188473625,145.07143064099162,123.1993941811405,109.86584841970367,65.60186404424365,65.59945203362027,55.80836121681995,136.6176145774935,110.11150117432088,120.80725777960456
2020-01-02,85.86580491889107,140.97373227194603,126.81073498940991,109.36974632358336,65.69046356630544,63.73019802759032,55.20073906220998,136.9206941696719,107.57674856128143,121.714998726596
2020-01-03,84.83431842738494,140.1513091401709,125.28467783451396,113.42141022679236,65.67273078730757,62.382035488424194,56.10884080340911,133.57751896913854,108.02612589015008,116.94457379394449
2020-01-04,82.58080326332374,140.7031163386911,127.13504878583957,113.8101468692065,65.52083201700162,62.00636625994526,54.4496777037718,131.65441890110517,107.03090545291836,119.41706795781003
2020-01-05,83.1483287506944,135.74181145689536,127.9590974110339,112.9336214513883,64.63378216358844,62.764922739913075,55.572429538024736,134.10656175943308,105.23446122526886,118.67856325180162
2020-01-06,83.69920876464293,138.39025671116607,126.73280335148782,112.51427863959623,63.20364988939114,61.26332641308517,56.47551021828127,137.74417550247603,105.0829022983234,121.06052010175647
2020-01-07,84.30458174778848,136.60469094218112,127.64881691558762,115.97530013554103,63.15836316073455,63.18043191321109,53.51648139037502,140.00842115864774,105.26584546966394,120.33656039452354
2020-01-08,84.45929882552203,131.1744661960743,127.08799978374617,116.80362488880601,65.02519053655197,62.52554118844542,52.65112673330561,138.6034169290977,107.19305702695652,121.12777594977014
2020-01-09,83.56443531840543,132.52101782716375,127.3347476151572,119.0664498112985,64.11216781262897,62.11579612758556,52.238228012031136,134.54645347833926,107.82789778188094,121.76019684015237
2020-01-10,83.57298138074248,131.89926331348312,123.73023009073985,118.06475490707051,63.6727244007212,61.119114301730235,52.069722416409306,135.63372567452487,111.89556699294803,122.18532941723895
2020-01-11,84.003466460912,131.702876084558,118.98203001153107,118.00214782293953,63.74942483188465,64.13013782624671,51.86939877561119,136.45172546468405,111.8178851298981,119.32942319705425
2020-01-12,85.92348802030955,133.68351094511462,120.86440174879417,115.85595436555921,65.53797144147697,62.33211978887192,52.478197268063646,142.429554458596,109.60269158948901,117.97790356842825
2020-01-13,86.09473587779586,132.3373830827618,117.11600159060335,116.0148229431651,64.14554683242984,62.922520191221025,51.51320274132045,146.84468379352992,107.8857582087614,117.21798071838795
2020-01-14,87.49552687702548,129.07959583142534,117.64878555186125,119.04778164715545,62.08328901033198,63.15487274505066,51.78095064270244,149.14081444130372,105.21677090256243,114.12235556214834
2020-01-15,88.4088779226789,129.8462890632067,118.23818914451357,119.87265946308032,61.23892558385342,63.44823179882607,52.08446206819472,147.01003539566867,109.1429862884616,115.20385414369527
2020-01-16,86.3024418136179,131.5513100562499,115.933297230913,121.75965795654137,62.657948552745744,62.40681495946652,53.08800061741532,148.22369416926048,110.93742830387298,119.57421138598427
2020-01-17,85.87888994155608,129.56821045908987,113.87081041569377,119.77300233144496,62.56132785390979,62.8326191227753,53.38177984392862,150.6758573078015,110.96627623283338,123.05031520595908
2020-01-18,85.42432124047761,136.61715948031008,115.29571537450654,117.7197156513837,61.22139872055992,63.43891923285971,53.14320301973711,152.8275100391119,112.01654457227733,122.87108279278837
2020-01-19,83.97758566854372,132.4780769826458,114.26609015802693,119.73601610242264,61.48354109001937,61.85835279750069,53.32727080177021,154.00525195348695,110.03641145432206,123.24885019718762
2020-01-20,84.07535022134282,129.44970684054815,115.08374941352612,121.07893820400696,62.81533760226665,63.1620819797708,51.85792385256318,151.11665232227858,111.16986410584325,124.51532075113558
2020-01-21,84.94140651348027,139.4244060805602,116.39775382302957,123.82879984348737,64.01385645920632,63.98494653208844,51.5309396829309,153.41051007861043,109.45156662428903,123.9255698555742
2020-01-22,84.11685726502074,139.6527111457061,121.78617498359017,119.20437568772428,64.89245968561235,61.921155756298035,51.044557832721935,156.75163940923383,109.59227760014178,121.25436714029902
2020-01-23,82.91347526476153,141.55086450825104,120.0072038153406,119.72043190839159,64.9516050612875,61.114198823998876,53.23329139387571,158.73899632925477,105.15347782940479,121.70653513905792
2020-01-24,81.81605495121897,143.96411801777217,118.10503985964105,119.4457059818306,65.60759974739376,62.17239752538733,51.95537682595926,157.677028520289,104.15463480445793,120.1162463950258
2020-01-25,84.70490497395299,145.13017471440864,115.1267048659386,121.6383993470269,68.3921912348949,63.45621433759011,50.376588043575545,156.14997672593245,106.7937281659225,118.41619439705576
2020-01-26,85.4567786236874,147.37863022468724,112.9924158492863,121.49358796638852,63.95864371958643,62.15613910292437,50.12211760926233,152.25315042947602,110.28035394686358,115.02915640849858
2020-01-27,84.70468293800263,147.76399756859144,116.24947486589885,118.00462707494998,65.44653123981877,62.16886005420801,49.13821176841566,153.6602846250958,110.71940142055152,113.64830758766419
2020-01-28,84.82293420755246,146.62528802079493,116.51340150137142,119.5673167413848,67.52251722191346,60.62978848381809,51.23448068187482,147.66111728733972,110.38329032321349,114.98553268449768
2020-01-29,85.29962530174738,144.79921809191282,116.0284208750265,118.38838076322178,66.72660938289837,61.660012392573954,51.600310742250954,145.61480118703358,112.369306207707,115.69223266653145
2020-01-30,86.68636198492635,146.62261337188593,114.10468123441522,117.06200223755825,67.72389675256633,62.41272115518768,51.57874016737979,145.95649325891966,115.24071256582074,114.32342837141029
2020-01-31,87.63487961742857,146.0296930697969,113.6079123483159,119.63450260367628,68.84190498450124,63.42818815656301,52.92543921114447,146.01780620031334,116.81248749278895,113.61401318494144
2020-02-01,88.20304520295548,145.64959806410732,113.82830253009656,121.05852889786085,67.71534757387099,66.08251483293452,51.860560975746125,142.47194304926003,119.51812373130872,115.41289269994007
2020-02-02,89.30403057166572,147.47996348150193,113.80042194280385,118.88612301267585,67.81801021398643,65.18754385602863,52.87196610361742,142.05291203161312,117.5448862091868,114.67105130678054
2020-02-03,90.04155943599837,145.8172019522788,111.92904138389507,119.46554356871673,68.15027312241715,64.52661624648823,52.373871677054275,142.71217941838123,114.14058802633464,111.44314429310116
2020-02-04,88.74776267501136,145.1947166237327,112.62503309942278,122.990628217024,69.3192678737629,64.32021040356868,52.353952628404684,139.8507164072135,114.098326021767,110.79976376612862
2020-02-05,89.32057367908547,142.79252537510345,113.79486146655242,126.76087865308129,69.16848439646547,64.83697405330835,53.07658794538112,138.72849699860402,114.60969756273961,110.82766846676606
2020-02-06,89.4950633822278,140.58492499157575,113.85064410423877,128.0234126724014,71.17595247632151,66.08089840652801,55.3622595067524,136.599437517104,116.60922564978549,111.2340558073261
2020-02-07,93.41459442828588,138.31223391522627,111.93858665222518,126.48868683239175,68.15254645355877,65.38605112303983,54.52171351857265,137.01031164987836,117.40626364371671,115.40793764399446
2020-02-08,95.19026357586839,136.71637724785572,109.92724128145801,127.73313103302247,66.35300135413867,67.78108825291768,55.807815446058186,135.72467360361034,113.38360916012475,118.53289001470662
2020-02-09,94.97220201467766,140.10097248528197,106.42182060237563,126.20193006612497,66.3599600584287,67.84477616836054,55.30547203063905,137.41539567904826,110.96259601019514,118.19535697793903
2020-02-10,95.20069683540618,141.54244010399847,107.93644762025477,123.36329001365411,64.323884956527,69.57845012830467,55.673047696537594,135.35832420742108,114.40499301040158,118.46880107180978
2020-02-11,97.44609510938433,141.73357471621654,112.38504382930624,127.69418244203678,64.00359813162564,70.93045814744642,56.39164861700664,139.06343768912052,112.1971517751368,120.09431495060137
2020-02-12,99.50888177361725,136.7481260281103,109.72543263315939,122.48622072706536,63.65873799631158,71.94837016632162,58.08605643658826,139.2695151867204,115.85167228613298,116.7794681668685
2020-02-13,96.1188481381563,136.59620515352458,110.56826758404567,122.40612760443199,61.02652289693192,71.82012933447956,56.5706266560656,141.1348146109087,116.70109268348264,114.58429493510653
2020-02-14,95.13100221434213,133.70251420277796,110.42966120006115,124.74443305970533,59.82341423419596,72.54414305318126,55.97068654085596,138.89677540708126,116.45128148434257,112.21184470307841
2020-02-15,94.0776179484831,130.49932848383688,114.76893981564518,124.83241169567303,58.98621485589848,72.85460283827746,55.844944979676136,138.2829361103181,117.88169146964391,113.91187145350266
2020-02-16,93.07945226276038,128.99645060917936,114.13759198211342,119.08532428512791,57.19870714504687,74.84626447596811,57.6822076087526,137.59418741537527,119.2410016703162,114.62097320538759
2020-02-17,98.81106304742715,131.88487440450228,113.8455878648381,116.80950742039879,55.360974092713846,75.1508343379953,56.809647994462125,133.68031054596338,117.69904170291731,112.14161151053506
2020-02-18,102.14522821688904,134.21037337680815,113.82743486408758,120.26693833786778,55.446637790219384,73.85630981135624,58.54021084809371,135.12114378588547,115.25738413543212,111.71471378867345
2020-02-19,100.35642369043184,130.4986520128467,115.93592315337233,124.85973220508218,53.895720396405466,74.68788641854186,57.77843578443096,133.804725005457,113.8918286537222,109.78430415765672
2020-02-20,100.45381283147546,128.3298946112155,116.56303638877067,124.734277867236,53.63815485394188,73.33220618437869,57.1119368787201,135.82622331032,115.03283614377462,107.63789971113918
2020-02-21,100.65337900782959,130.25840321830603,112.67121741815154,126.08979069160229,52.92731653809711,74.1690713686548,56.240112703308874,130.92321692524683,111.28841969229356,107.74141496446626
2020-02-22,101.17621795588227,127.90250642650868,114.1102372134415,121.89977635397446,52.8573680097015,72.37267242967923,55.50692597997128,131.04732865578137,109.37333881820197,106.91276379511122
2020-02-23,103.2124759677326,126.42678810552698,116.01745771634461,119.14555609540814,53.417449097804415,74.4592759010348,52.76305821362391,128.95870876682392,110.63566492397514,106.47860092715719
